fecha,temp_max,temp_min,temp_media,precipitacion
2018-03-17,"11,2","4,09","7,88","7,65"
2018-03-18,"12,45","4,65","8,72","3,07"
2018-03-19,"11,44","4,27","7,8","5,55"
2018-03-20,"9,76","3,61","6,55","2,73"
2018-03-21,"10,93","3,3","6,79","0,39"
2018-03-22,"13,06","3,52","7,45","0,06"
2018-03-23,"14,31","4,18","9,38","3,17"
2018-03-24,"11,47","4,82","8,47","8,05"
2018-03-25,"11,99","5,19","8,95","4,81"
2018-03-26,"14,51","4,61","9,81","1,37"
2018-03-27,"18,65","5,92","12,68","0,29"
2018-03-28,"19,96","7,15","13,95","0,93"
2018-03-29,"16,07","7,07","11,99","1,01"
2018-03-30,"13,16","5,58","9,69","2,55"
2018-03-31,"13,88","5,01","9,78","2,16"
2018-04-01,"17,68","4,58","11,33","0,06"
2018-04-02,"17,74","7,8","13,22","1,07"
2018-04-03,"17,39","8,39","13,35","2,4"
2018-04-04,"16,71","8,1","12,85","2,07"
2018-04-05,"18,99","5,83","12,8","0,03"
2018-04-06,"19,15","7,62","13,82","1,94"
2018-04-07,"14,55","7,92","11,68","6,17"
2018-04-08,"14,49","6,59","10,98","5,69"
2018-04-09,"12,7","5,42","9,47","4,19"
2018-04-10,"11,3","5,02","8,56","11,88"
2018-04-11,"11,82","4,77","8,65","11,72"
2018-04-12,"13,78","6,02","10,28","5,69"
2018-04-13,"13,88","6,33","10,53","4,44"
2018-04-14,"16,4","6,09","11,67","1,41"
2018-04-17,"21,73","6,75","14,68","0,0"
2018-04-18,"23,57","8,69","16,59","0,0"
2018-04-19,"21,97","9,84","16,36","0,18"
2018-04-20,"20,45","9,99","15,67","0,12"
2018-04-21,"20,35","9,78","15,52","1,0"
2018-04-22,"21,66","10,53","16,54","1,48"
2018-04-23,"21,55","11,26","16,87","1,09"
2018-04-24,"23,4","11,64","17,98","0,24"
2018-04-25,"22,28","10,88","17,03","0,66"
2018-04-26,"21,49","10,33","16,34","0,43"
2018-04-27,"21,06","9,86","15,92","0,75"
2018-04-28,"17,53","8,58","13,51","1,67"
2018-04-29,"14,32","6,8","10,98","4,89"
2018-04-30,"14,11","5,4","10,11","1,59"
2018-05-01,"15,18","5,01","10,35","1,9"
2018-05-02,"17,17","5,13","11,5","1,23"
2018-05-03,"17,66","7,89","13,24","0,83"
2018-05-04,"18,18","7,43","13,18","0,63"
2018-05-05,"20,66","8,19","14,86","0,85"
2018-05-06,"22,15","9,54","16,29","0,91"
2018-05-07,"22,67","10,74","17,16","1,63"
2018-05-08,"21,77","11,22","16,95","1,87"
2018-05-09,"21,04","10,65","16,28","0,74"
2018-05-10,"20,24","10,52","15,83","0,97"
2018-05-11,"22,16","8,76","15,9","0,25"
2018-05-12,"18,44","8,89","14,1","2,77"
2018-05-13,"16,72","6,19","11,73","2,43"
2018-05-14,"18,52","7,56","13,48","1,55"
2018-05-17,"22,05","9,61","16,3","0,75"
2018-05-18,"21,03","10,7","16,31","2,06"
2018-05-19,"22,12","10,34","16,68","1,5"
2018-05-20,"21,41","10,08","16,2","1,89"
2018-05-21,"21,68","10,62","16,61","2,1"
2018-05-22,"22,86","10,38","17,07","0,68"
2018-05-23,"23,05","11,41","17,69","1,36"
2018-05-24,"22,93","12,56","18,19","2,42"
2018-05-25,"20,39","12,53","16,89","5,64"
2018-05-26,"21,35","12,14","17,19","3,43"
2018-05-27,"21,85","12,19","17,46","2,36"
2018-05-28,"19,76","12,42","16,55","4,95"
2018-05-29,"20,15","12,12","16,59","4,03"
2018-05-30,"19,68","11,95","16,27","3,37"
2018-05-31,"21,5","11,39","16,91","0,82"
2018-06-01,"22,31","11,8","17,51","2,45"
2018-06-02,"22,2","12,04","17,57","2,83"
2018-06-03,"21,7","12,04","17,31","4,54"
2018-06-04,"20,53","11,87","16,66","2,38"
2018-06-05,"19,45","11,87","16,12","2,72"
2018-06-06,"19,97","11,4","16,16","2,92"
2018-06-07,"21,76","11,65","17,17","1,27"
2018-06-08,"21,57","12,77","17,61","3,9"
2018-06-09,"21,24","12,49","17,32","2,58"
2018-06-10,"20,8","12,26","16,98","3,49"
2018-06-11,"21,29","12,5","17,35","2,17"
2018-06-12,"22,27","12,44","17,81","2,73"
2018-06-13,"23,16","12,48","18,27","0,45"
2018-06-14,"24,47","11,88","18,63","0,02"
2018-06-17,"27,01","13,71","20,83","0,09"
2018-06-18,"27,2","14,34","21,23","0,07"
2018-06-19,"27,77","14,64","21,65","0,06"
2018-06-20,"29,2","15,65","22,87","0,21"
2018-06-21,"28,74","16,3","22,98","0,52"
2018-06-22,"28,73","16,41","23,02","0,27"
2018-06-23,"29,43","15,7","23,02","0,06"
2018-06-24,"30,22","15,79","23,47","0,0"
2018-06-25,"29,43","15,93","23,15","0,08"
2018-06-26,"28,78","16,03","22,85","0,7"
2018-06-27,"27,8","15,91","22,31","1,1"
2018-06-28,"26,98","16,05","21,97","2,06"
2018-06-29,"27,6","15,73","22,13","1,43"
2018-06-30,"26,16","16,27","21,67","3,31"
2018-07-01,"26,38","15,45","21,37","1,69"
2018-07-02,"26,34","14,86","21,07","1,11"
2018-07-03,"28,15","15,1","22,08","0,07"
2018-07-04,"26,7","15,35","21,48","1,55"
2018-07-05,"26,51","15,09","21,24","0,42"
2018-07-06,"27,73","15,08","21,86","0,29"
2018-07-07,"29,17","16,07","23,08","1,33"
2018-07-08,"30,05","16,85","23,9","0,91"
2018-07-09,"30,67","17,09","24,34","0,53"
2018-07-10,"30,34","17,19","24,21","0,09"
2018-07-11,"28,08","16,97","22,99","2,41"
2018-07-12,"28,05","16,1","22,53","1,29"
2018-07-13,"28,62","16,35","22,93","1,28"
2018-07-14,"29,21","16,08","23,1","0,81"
2018-07-17,"29,24","15,26","22,69","0,04"
2018-07-18,"29,29","16,85","23,52","0,48"
2018-07-19,"29,12","15,83","22,93","0,53"
2018-07-20,"27,57","16,21","22,35","2,09"
2018-07-21,"26,71","15,21","21,4","0,44"
2018-07-22,"27,8","15,79","22,24","0,89"
2018-07-23,"30,29","15,7","23,44","0,0"
2018-07-24,"29,78","16,77","23,72","0,33"
2018-07-25,"30,17","16,69","23,89","0,12"
2018-07-26,"30,24","16,95","24,05","0,11"
2018-07-27,"30,11","16,76","23,89","0,12"
2018-07-28,"29,52","16,29","23,36","0,23"
2018-07-29,"29,72","16,18","23,4","0,01"
2018-07-30,"30,63","16,24","23,88","0,17"
2018-07-31,"30,52","17,03","24,24","0,38"
2018-08-01,"32,09","17,73","25,37","0,31"
2018-08-02,"33,89","18,87","26,84","0,02"
2018-08-03,"34,5","19,75","27,58","0,01"
2018-08-04,"33,62","19,65","27,09","0,01"
2018-08-05,"34,08","19,39","27,19","0,1"
2018-08-06,"34,73","19,63","27,63","0,25"
2018-08-07,"30,97","18,85","25,37","1,07"
2018-08-08,"29,84","17,14","23,95","1,66"
2018-08-09,"27,02","16,18","22,05","1,55"
2018-08-10,"28,29","15,06","22,15","0,95"
2018-08-11,"30,4","16,82","24,06","0,4"
2018-08-12,"30,69","17,82","24,7","1,46"
2018-08-13,"29,22","17,21","23,66","0,69"
2018-08-14,"29,07","16,67","23,32","0,4"
